FALSEc,SKU1,SKU2,SKU3,SKU,Product Department,Category,Item / Service,Unit,Base Minimums,Base Cost,Target Margin Mark-Up (%),Suggested Price,Client Price,Actual Margin (%),Notes,Client Price 2026,% Increase,
TRUE,CORP_,EXCTOUR_,HIKELOCAL1,CORP_ EXCTOUR_ HIKELOCAL1,Corporate Events,Excursions & Tours,Guided Wellness Hike - Local (10-19 participants),Per Person,10,$31.00,40%,$51.67,$60.00,56%,,$66.00,10.00%,
TRUE,CORP_,EXCTOUR_,HIKELOCAL2,CORP_ EXCTOUR_ HIKELOCAL2,Corporate Events,Excursions & Tours,Guided Wellness Hike - Local (20-29 participants),Per Person,20,$28.00,40%,$46.67,$55.00,58%,,$61.00,10.91%,
TRUE,CORP_,EXCTOUR_,HIKELOCAL3,CORP_ EXCTOUR_ HIKELOCAL3,Corporate Events,Excursions & Tours,Guided Wellness Hike - Local (30-39 participants),Per Person,30,$25.00,40%,$41.67,$50.00,60%,,$55.00,10.00%,
TRUE,CORP_,EXCTOUR_,HIKELOCAL4,CORP_ EXCTOUR_ HIKELOCAL4,Corporate Events,Excursions & Tours,Guided Wellness Hike - Local (40-49 participants),Per Person,40,$22.00,40%,$36.67,$45.00,63%,,$50.00,11.11%,
TRUE,CORP_,EXCTOUR_,HIKELOCAL5,CORP_ EXCTOUR_ HIKELOCAL5,Corporate Events,Excursions & Tours,Guided Wellness Hike - Local (50+ participants),Per Person,50,$20.00,40%,$33.33,$40.00,60%,,$45.00,12.50%,
TRUE,CORP_,EXCTOUR_,HIKEREGIONAL1,CORP_ EXCTOUR_ HIKEREGIONAL1,Corporate Events,Excursions & Tours,Guided Wellness Hike - Regional (10-19 participants),Per Person,10,$33.00,40%,$55.00,$65.00,58%,,$72.00,10.77%,
TRUE,CORP_,EXCTOUR_,HIKEREGIONAL2,CORP_ EXCTOUR_ HIKEREGIONAL2,Corporate Events,Excursions & Tours,Guided Wellness Hike - Regional (20-29 participants),Per Person,20,$30.00,40%,$50.00,$60.00,60%,,$67.00,11.67%,
TRUE,CORP_,EXCTOUR_,HIKEREGIONAL3,CORP_ EXCTOUR_ HIKEREGIONAL3,Corporate Events,Excursions & Tours,Guided Wellness Hike - Regional (30-39 participants),Per Person,30,$27.00,40%,$45.00,$55.00,62%,,$61.00,10.91%,
TRUE,CORP_,EXCTOUR_,HIKEREGIONAL4,CORP_ EXCTOUR_ HIKEREGIONAL4,Corporate Events,Excursions & Tours,Guided Wellness Hike - Regional (40-49 participants),Per Person,40,$24.00,40%,$40.00,$50.00,65%,,$56.00,12.00%,
TRUE,CORP_,EXCTOUR_,HIKEREGIONAL5,CORP_ EXCTOUR_ HIKEREGIONAL5,Corporate Events,Excursions & Tours,Guided Wellness Hike - Regional (50+ participants),Per Person,50,$21.00,40%,$35.00,$45.00,69%,,$51.00,13.33%,
TRUE,CORP_,EXCTOUR_,KAYPADDTOUR,CORP_ EXCTOUR_ KAYPADDTOUR,Corporate Events,Excursions & Tours,Kayak & Paddleboard Combo Tour,Per Person,10,$48.00,40%,$80.00,$70.00,28%,,$84.00,20.00%,
TRUE,CORP_,EXCTOUR_,KAYAKTOUR,CORP_ EXCTOUR_ KAYAKTOUR,Corporate Events,Excursions & Tours,Kayak Tour,Per Person,10,$43.00,40%,$71.67,$65.00,31%,,$78.00,20.00%,
TRUE,CORP_,EXCTOUR_,PADDSOUNDBTH,CORP_ EXCTOUR_ PADDSOUNDBTH,Corporate Events,Excursions & Tours,Paddleboard Sound Bath,Per Person,10,$50.00,40%,$83.33,$75.00,30%,,$90.00,20.00%,
TRUE,CORP_,EXCTOUR_,PADDLETOUR,CORP_ EXCTOUR_ PADDLETOUR,Corporate Events,Excursions & Tours,Paddleboard Tour,Per Person,10,$48.00,40%,$80.00,$70.00,28%,,$84.00,20.00%,
TRUE,CORP_,EXCTOUR_,PADDYOGA,CORP_ EXCTOUR_ PADDYOGA,Corporate Events,Excursions & Tours,Paddleboard Yoga,Per Person,10,$50.00,40%,$83.33,$75.00,30%,,$90.00,20.00%,
TRUE,CORP_,EXCTOUR_,PEDALBIKE,CORP_ EXCTOUR_ PEDALBIKE,Corporate Events,Excursions & Tours,Pedal Bike Tour,Per Person,10,$53.00,40%,$88.33,$90.00,42%,,$100.00,11.11%,
TRUE,CORP_,EXCTOUR_,RUNWALKTOUR1,CORP_ EXCTOUR_ RUNWALKTOUR1,Corporate Events,Excursions & Tours,Running & Walking Tour (10-19 participants),Per Person,10,$28.00,40%,$46.67,$50.00,47%,,$58.00,16.00%,
TRUE,CORP_,EXCTOUR_,RUNWALKTOUR2,CORP_ EXCTOUR_ RUNWALKTOUR2,Corporate Events,Excursions & Tours,Running & Walking Tour (20-29 participants),Per Person,20,$25.00,40%,$41.67,$45.00,48%,,$52.00,15.56%,
TRUE,CORP_,EXCTOUR_,RUNWALKTOUR3,CORP_ EXCTOUR_ RUNWALKTOUR3,Corporate Events,Excursions & Tours,Running & Walking Tour (30-39 participants),Per Person,30,$22.00,40%,$36.67,$40.00,49%,,$46.00,15.00%,
TRUE,CORP_,EXCTOUR_,RUNWALKTOUR4,CORP_ EXCTOUR_ RUNWALKTOUR4,Corporate Events,Excursions & Tours,Running & Walking Tour (40-49 participants),Per Person,40,$20.00,40%,$33.33,$35.00,45%,,$40.00,14.29%,
TRUE,CORP_,EXCTOUR_,RUNWALKTOUR5,CORP_ EXCTOUR_ RUNWALKTOUR5,Corporate Events,Excursions & Tours,Running & Walking Tour (50+ participants),Per Person,50,$17.00,40%,$28.33,$30.00,46%,,$34.00,13.33%,
TRUE,CORP_,EXCTOUR_,RUNTOUR1,CORP_ EXCTOUR_ RUNTOUR1,Corporate Events,Excursions & Tours,Running Tour (10-19 participants),Per Person,10,$23.00,40%,$38.33,$40.00,44%,10 min mile run,$48.00,20.00%,
TRUE,CORP_,EXCTOUR_,RUNTOUR2,CORP_ EXCTOUR_ RUNTOUR2,Corporate Events,Excursions & Tours,Running Tour (20-29 participants),Per Person,20,$20.00,40%,$33.33,$35.00,45%,10 min mile run,$42.00,20.00%,
TRUE,CORP_,EXCTOUR_,RUNTOUR3,CORP_ EXCTOUR_ RUNTOUR3,Corporate Events,Excursions & Tours,Running Tour (30-39 participants),Per Person,30,$17.00,40%,$28.33,$30.00,46%,10 min mile run,$36.00,20.00%,
TRUE,CORP_,EXCTOUR_,RUNTOUR4,CORP_ EXCTOUR_ RUNTOUR4,Corporate Events,Excursions & Tours,Running Tour (40-49 participants),Per Person,40,$15.00,40%,$25.00,$25.00,40%,10 min mile run,$30.00,20.00%,
TRUE,CORP_,EXCTOUR_,RUNTOUR5,CORP_ EXCTOUR_ RUNTOUR5,Corporate Events,Excursions & Tours,Running Tour (50+ participants),Per Person,50,$12.00,40%,$20.00,$20.00,40%,10 min mile run,$24.00,20.00%,
TRUE,CORP_,EXCTOUR_,WALKTOUR1,CORP_ EXCTOUR_ WALKTOUR1,Corporate Events,Excursions & Tours,Walking Tour (10-19 participants),Per Person,10,$23.00,40%,$38.33,$40.00,44%,,$48.00,20.00%,
TRUE,CORP_,EXCTOUR_,WALKTOUR2,CORP_ EXCTOUR_ WALKTOUR2,Corporate Events,Excursions & Tours,Walking Tour (20-29 participants),Per Person,20,$20.00,40%,$33.33,$35.00,45%,,$42.00,20.00%,
TRUE,CORP_,EXCTOUR_,WALKTOUR3,CORP_ EXCTOUR_ WALKTOUR3,Corporate Events,Excursions & Tours,Walking Tour (30-39 participants),Per Person,30,$17.00,40%,$28.33,$30.00,46%,,$36.00,20.00%,
TRUE,CORP_,EXCTOUR_,WALKTOUR4,CORP_ EXCTOUR_ WALKTOUR4,Corporate Events,Excursions & Tours,Walking Tour (40-49 participants),Per Person,40,$15.00,40%,$25.00,$25.00,40%,,$30.00,20.00%,
TRUE,CORP_,EXCTOUR_,WALKTOUR5,CORP_ EXCTOUR_ WALKTOUR5,Corporate Events,Excursions & Tours,Walking Tour (50+ participants),Per Person,50,$12.00,40%,$20.00,$20.00,40%,,$24.00,20.00%,
TRUE,CORP_,FEE_,EVNTMANAGE,CORP_ FEE_ EVNTMANAGE,Corporate Events,Fees,Event Coordination & Management Fee,Flat Fee,n/a,$0.00,40%,$0.00,$0.00,#DIV/0!,,$0.00,#DIV/0!,
TRUE,CORP_,FEE_,PERMIT,CORP_ FEE_ PERMIT,Corporate Events,Fees,Permitting Fee,Flat Fee,n/a,$0.00,40%,$0.00,$0.00,#DIV/0!,Minimum *NEED documentation about them being charged the actual permit bill,$500,#DIV/0!,
TRUE,CORP_,FEE_,TRAVEL,CORP_ FEE_ TRAVEL,Corporate Events,Fees,Travel Fee,Flat Fee,n/a,$0.00,40%,$0.00,$0.00,#DIV/0!,Use Travel Calculator,$0.00,#DIV/0!,
TRUE,CORP_,FEE_,RUSH,CORP_ FEE_ RUSH,Corporate Events,Fees,Rush Contract Fee,Flat Fee,n/a,$0.00,40%,$0.00,$0.00,#DIV/0!,10% upcharge if less than 2 weeks out (Considerations apply in certain cases),$0.00,#DIV/0!,
TRUE,CORP_,RUNWALK_,FUNRUNBASE,CORP_ RUNWALK_ FUNRUNBASE,Corporate Events,Fun Runs & Walks,Fun Run & Walk 5K Expereince Base Cost,Flat Fee,10,,,,"$3,200.00",#DIV/0!,,"$3,500.00",9.38%,
TRUE,CORP_,RUNWALK_,FUNRUN1,CORP_ RUNWALK_ FUNRUN1,Corporate Events,Fun Runs & Walks,Fun Run & Walk 5K (10-49),Per Person,10,$26.00,40%,$43.33,$40.00,32%,,$44.00,10.00%,
TRUE,CORP_,RUNWALK_,FUNRUN2,CORP_ RUNWALK_ FUNRUN2,Corporate Events,Fun Runs & Walks,Fun Run & Walk 5K (50-99),Per Person,50,$21.00,40%,$35.00,$35.00,40%,,$39.00,11.43%,
TRUE,CORP_,RUNWALK_,FUNRUN3,CORP_ RUNWALK_ FUNRUN3,Corporate Events,Fun Runs & Walks,Fun Run & Walk 5K (100-199),Per Person,100,$18.00,40%,$30.00,$30.00,40%,,$34.00,13.33%,
TRUE,CORP_,RUNWALK_,FUNRUN4,CORP_ RUNWALK_ FUNRUN4,Corporate Events,Fun Runs & Walks,Fun Run & Walk 5K (200-499),Per Person,200,$15.00,40%,$25.00,$25.00,40%,,$29.00,16.00%,
TRUE,CORP_,RUNWALK_,COMPETEBASE,CORP_ RUNWALK_ COMPETEBASE,Corporate Events,Fun Runs & Walks,Competitive Race 5K Experience Base Cost,Flat Fee,,,,,,,,"$5,550",,
TRUE,CORP_,RUNWALK_,COMPETE1,CORP_ RUNWALK_ COMPETE1,Corporate Events,Fun Runs & Walks,Competitive Race 5K (10-49),Per Person,10,$26.00,40%,$43.33,$40.00,32%,,$44.00,10.00%,
TRUE,CORP_,RUNWALK_,COMPETE2,CORP_ RUNWALK_ COMPETE2,Corporate Events,Fun Runs & Walks,Competitive Race 5K (50-99),Per Person,50,$21.00,40%,$35.00,$35.00,40%,,$39.00,11.43%,
TRUE,CORP_,RUNWALK_,COMPETE3,CORP_ RUNWALK_ COMPETE3,Corporate Events,Fun Runs & Walks,Competitive Race 5K (100-199),Per Person,100,$18.00,40%,$30.00,$30.00,40%,,$34.00,13.33%,
TRUE,CORP_,RUNWALK_,COMPETE4,CORP_ RUNWALK_ COMPETE4,Corporate Events,Fun Runs & Walks,Competitive Race 5K (200-499),Per Person,200,$15.00,40%,$25.00,$25.00,40%,,$39.00,56.00%,
TRUE,CORP_,RUNWALK_,RUNCLUB1,CORP_ RUNWALK_ RUNCLUB1,Corporate Events,Fun Runs & Walks,Swift's Run Club Experience (up to 25 participants),Flat Fee,10,$250.00,40%,$416.67,$450.00,48%,,$800,77.78%,
TRUE,CORP_,RUNWALK_,RUNCLUB2,CORP_ RUNWALK_ RUNCLUB2,Corporate Events,Fun Runs & Walks,Swift's Run Club Experience (up to 50 participants),Flat Fee,26,$300.00,40%,$500.00,$550.00,50%,,"$1,425",159.09%,
TRUE,CORP_,RUNWALK_,RUNCLUB3,CORP_ RUNWALK_ RUNCLUB3,Corporate Events,Fun Runs & Walks,Swift's Run Club Experience (up to 75 participants),Flat Fee,51,$500.00,40%,$833.33,$850.00,42%,,"$2,050.00",141.18%,
TRUE,CORP_,RUNWALK_,RUNCLUB4,CORP_ RUNWALK_ RUNCLUB4,Corporate Events,Fun Runs & Walks,Swift's Run Club Experience (Per Person Over 75),Per Person,,,,,,,,$25.00,,
TRUE,CORP_,ADDON_,BLENDERBIKE,CORP_ ADDON_ BLENDERBIKE,Corporate Events,Onsite & Offsite Activations,Blender Bike Activation & Photo-op,Per Hour,2,$120.00,40%,$200.00,$200.00,40%,Includes Water & Food Coloring ONLY,$250,25.00%,
TRUE,CORP_,ADDON_,ELECTROBIKE,CORP_ ADDON_ ELECTROBIKE,Corporate Events,Onsite & Offsite Activations,Blender Bikes - Blend Your Own Electrolytes,Per Hour,2,$210.00,40%,$350.00,$350.00,40%,Serves up to 30 people per hour (no additional lines items needed),$400,14.29%,
TRUE,CORP_,ADDON_,SMOOTHIEBIKE,CORP_ ADDON_ SMOOTHIEBIKE,Corporate Events,Onsite & Offsite Activations,Blender Bikes - Blend Your Own Smoothie,Per Hour,2,$120.00,40%,$200.00,$200.00,40%,15 ppl per hour per bike **Must be paired with per person service:   + Fresh Smoothies (Onsite),$400,100.00%,
TRUE,CORP_,WELLACTIV_,BODYSCRUBBAR,CORP_ WELLACTIV_ BODYSCRUBBAR,Corporate Events,Onsite & Offsite Activations,Body Scrub Making Bar,Per Hour,2,$225.00,40%,$375.00,$450.00,60%,Up to 30 people per hour,$600,33.33%,
TRUE,CORP_,WELLACTIV_,CHAIRMASS1,CORP_ WELLACTIV_ CHAIRMASS1,Corporate Events,Onsite & Offsite Activations,Chair Massage Station - 1 Chair,Per Hour,2,$150.00,40%,$250.00,$250.00,40%,up to 5 people per hour per chair,$300.00,20.00%,
TRUE,CORP_,WELLACTIV_,CHAIRMASS2,CORP_ WELLACTIV_ CHAIRMASS2,Corporate Events,Onsite & Offsite Activations,Chair Massage Station - 2 Chairs,Per Hour,2,$300.00,40%,$500.00,$500.00,40%,up to 5 people per hour per chair,$600.00,20.00%,
TRUE,CORP_,WELLACTIV_,CHAIRMASS3,CORP_ WELLACTIV_ CHAIRMASS3,Corporate Events,Onsite & Offsite Activations,Chair Massage Station - 3 Chairs,Per Hour,2,$450.00,40%,$750.00,$750.00,40%,up to 5 people per hour per chair,$900.00,20.00%,
TRUE,CORP_,WELLACTIV_,CHAIRMASS4,CORP_ WELLACTIV_ CHAIRMASS4,Corporate Events,Onsite & Offsite Activations,Chair Massage Station - 4 Chairs,Per Hour,2,$600.00,40%,"$1,000.00","$1,000.00",40%,up to 5 people per hour per chair,"$1,200.00",20.00%,
TRUE,CORP_,WELLACTIV_,COLDPLUNGE,CORP_ WELLACTIV_ COLDPLUNGE,Corporate Events,Onsite & Offsite Activations,Cold Therapy Plunge,Per Hour,2,$175.00,40%,$291.67,$400.00,77%,"Per plunge, per hour, 2 hr min (ice and set up included)",$480.00,20.00%,
